id,item_picture_src,item_name,item_short_description,item_description,languages,translations
100010,,BANANA KETCHUP,"Banana Ketchup is a popular Filipino condiment made from bananas, sugar, vinegar and spices.",Banana ketchup contains less vinegar and is sweeter than tomato ketchup.  It’s often served with fried foods and is the main ingredient in Filipino Spaghetti.,[],[]
100011,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/BananaLeaf_600_600_200_200.png,BANANA LEAF,The leaves of the banana plant have many uses in tropical Asian countries.,"Banana leaves are key ingredients around the world in tropical cuisines. Consequently, while their culinary usage is far from exclusive to tropical Asian countries, they are quite common in the food of much of southeast Asia.",[],[]
100012,,BASIL,A fragrant herb used in Asian cuisine of South Asia,"Basil is a fragrant herb used in the Asian cuisine of South Asia, particularly Thailand, Malaysia, Vietnam, and Laos. Basil leaves are usually added at the end of cooking as overcooking can ruin the flavor. Asian cooks have several varieties of basil that they use in salads and in cooking besides sweet basil, the green variety often associated with Italian cooking.","['Vietnamese', 'Indonesian', 'Thai', 'Thai', 'Thai']","['rau que', 'indring', 'bai horapa', 'bai magnlak', 'bai krapow']"
100013,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Bento_600_600_200_200.png,BENTO,Bento is a broad Japanese term that refers to pretty much any boxed meal. Traditionally these were prepared at home to be taken to work or school for lunch.,"Bento is a broad Japanese term that refers to pretty much any boxed meal. Traditionally these were prepared at home to be taken to work or school for lunch, but in modern times bento can be purchased as pre-packaged meals at grocery or convenience stores.",[],[]
100014,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/PROD-BitterMelon1LR_200_142.png,BITTER MELON,"True to its name, bitter melon is bitter in flavor and used in Cantonese cooking","The bitter melon has a distinctive warty texture, oblong shape and is light green in color True to its name, bitter melon is bitter in flavor and is often blanched or salted before use to reduce its bitter quality. Bitter melon is used in Cantonese cooking often stir-fried, stuffed and fried, or braised. It is also curried (Indian), pickled (Ceylonese), and used in salads (Indonesian).","['English', 'Chinese', 'Indonesian', 'Filipino', 'Indian']","['bitter cucumber, bitter gourd', 'mo gwa, foo gwa', 'pare, peria', 'ampalaya', 'karela']"
100015,,BLACK BEAN SAUCE,Blend of fermented black beans and spices used in Chinese cuisine,"Made from fermented black beans and occasionally flavored with garlic and other spices, black bean sauce is often prepared as a sauce for steamed fish or meat or used in stir-fries. ",[],[]
100016,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/black_cod_200_200.png,BLACK COD,"Black Cod is a white-flesh fish with a rich, buttery flavor","Black cod is a delicious fish rich with flavor and texture.  It is high in Omega-3 fatty acids which gives it a buttery, moist and enjoyable flavor.  It is quite versatile and tastes great grilled, smoked, broiled, poached, or roasted. 
Black cod cooked in sake lees, or gindara kasuzuke,  is a popular Japanese way of eating the fish.","['Alternative Names', 'Japanese']","['Sablefish, Butterfish', 'Gindara']"
100017,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/BlackTea_600_600_200_200.png,BLACK TEA,The variety of tea where the tea leaves have been allowed to oxidize,"Although green tea likely comes to mind first when considering Asian teas (particularly of the Japanese variety), black tea — sometimes called red tea — is huge across the continent. Besides the different mouthfeel and taste between green and black teas, the process of how a tea becomes “black” is also different. While green tea is unoxidized, black tea is left to ferment, which oxidizes the leaves and turns them dark; the darker the tea, the longer it’s been fermented and the stronger the taste will be. Because of the oxidizing, black teas have the most tannins of all tea types which contributes to a sometimes bitter taste and dryer mouthfeel. This is especially potent in certain types of black teas when they are oversteeped.","['Chinese', 'English']","['lapsang souchong', 'red tea, Darjeeling tea']"
100018,,BOK CHOY,"Also known as Chinese cabbage, bok choy is a common vegetable in Chinese cooking","Bok choy, also known as Chinese cabbage is a common vegetable in Chinese cooking. This dark green leafy vegetable with white stocks has a mild flavor, crisp texture and is high in vitamin C. Bok choy can be found in Chinese stir-fries and soups","['English', 'Chinese']","['Chinese white cabbage, Chinese chard', 'bai cai, pak chai']"
100019,,BOTTLE GOURD,"With smooth, light green skin, young bottle gourds can be cooked in a manner similar to zucchini","With smooth, light green skin, young bottle gourds can be cooked in a manner similar to zucchini. The white flesh is cut into strips and dried to make the Japanese kampyo. Gourds that are allowed to grow and ripen fully on the vine are dried and seeded to make liquid vessels, giving these gourds their name.","['English', 'Chinese', 'Japaense']","['calabash, trumpet gourd', 'opo', 'yugao']"
100020,,CANDLENUT,"Relative of macadamia nuts, candlenuts are commonly used in Southeast Asian and Polynesian cuisine. Due to their high fat content, they can be lit on fire and used as candles, giving them their name. In Hawaii, candlenuts are called kukui nuts, and are an ingredient in poke, a raw fish salad.",Candle nuts are slightly toxic and should never be eaten raw. Roasting the nuts neutralizes the toxins and enhances the flavor. Roasted candlenuts are cut into slivers or ground into a paste and used as seasoning or added to curries as a thickener. ,"['Hawaiian', 'Indonesian', 'Malay']","['Kukiu Nut', 'Kemiri', 'Buah Keras']"
100021,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/CellophaneNoodles_600_600_200_200.png,CELLOPHANE NOODLES,Noodles made from a variety of starches including mung bean or sweet potato,"While cellophane noodles (also known as glass noodles) are delicious, the term “cellophane noodles” doesn’t actually refer to one type of noodle, but rather a huge array of noodles that are all clear and, when reconstituted, kind of slippery.","['English', 'Chinese', 'Japanese', 'Korean', 'Filipino', 'Vietnamese', 'Malaysian']","['bean thread vermicelli, slippery noodles, glass noodles', 'fen si, sai fun', 'harusame', 'dang myun', 'pancit sotanghon', 'bun tau', 'soo hoon']"
100022,,CHILI BEAN PASTE,A mixture of dried chilis and bean paste,"Not to be be confused with chili paste, chili bean paste is a mixture of dried chilis and bean paste. Some brands may also use fermented black beans, garlic and other spices. The sauce is often used to flavor tofu and noodle dishes. Chili bean paste is an essential ingredient in many Sichuan and Korean dishes.","['Korean', 'English', 'Chinese']","['kochujang', 'Szechuan hot bean paste, hot bean paste', 'lat chu jeung']"
100023,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/chili_oil_200_200.png,CHILI OIL,An oil infused with ground chili peppers,Chili Oil is made by infusing ground dried chili peppers with oil. Chili oil is spicy and is orange to red in color. Chili oil is used in Chinese and Southeast Asian cuisine and is particularly popular in Sichuan cuisine. Chili oil can be used as a dipping sauce or as a base for other sauces and dishes.,"['Chinese', 'Japanese']","['la yu', 'la yu']"
100024,,CHILI PEPPER,A key ingredient for the bold and spicy flavors of some Asian cuisines,"Related to the sweet bell pepper, the chili pepper varies in hotness and intensity from mild to painful. Introduced to Asia from the Americas (records suggest that chilies were eaten in the region of modern day Mexico over 9,000 years ago), chili peppers are a common ingredient especially in southeast Asian cooking and the cuisine of Korea. Thai cooks grow and use almost a dozen varieties of chilies in their cooking.",[],[]
100025,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/chili_sauce_200_200.png,CHILI SAUCE,A condiment that adds spice and flavor to Asian dishes,"Chili sauces and pastes come in every shade of red to orange and every intensity and consistency. Chili pastes are often used in stir fries to add flavor and as a dipping sauce. Pastes and sauces are often combined with soy sauce, garlic, vinegar, salts and sugars or bananas to sweeten the flavor.","['Chinese', 'Chinese', 'Indonesian', 'Korean', 'Malaysian', 'Thai', 'Japanese']","['Lat Jiu', 'Lat Jiu Din', 'Sambal Ulek', 'Gochujang', 'Sos', 'Sriracha', 'Rayu']"
100026,,CHINESE CHIVES,A popular ingredient in Chinese cuisine,"With a stronger flavor than Western Chives, Chinese chives are a popular ingredient in Chinese dumplings, soups and stir-fries. The Chinese chives are sometimes sold with their edible flower buds.","['English', 'Japanese', 'Chinese', 'Vietnamese']","['garlic chives, yellow chives', 'nira', 'gau choy, gau wong', 'la he']"
100027,,CHINESE OKRA,A versatile vegetable used in Chinese cuisine,"Chinese okra is dull green in color with ridges running length-wise along the length of the fruit. They are about 4-5 inches and have small white seeds. Chinese okra has a taste and texture similar to zucchini.  Chinese okra is used in Chinese cooking, often braised, steamed or sauteed. ",['English'],"['luffa, angled luffa']"
100028,https://www.uwajimaya.com/static/ee_images/made/1356264b24d7144c/Chopsticks_600_600_200_200.png,CHOPSTICKS,The utensil of choice in many parts of Asia,"We’re sure almost everyone stopping by Uwajimaya is somewhere between “avid chopstick user” and “not great chopstick user but still very familiar with them.” After all, they are the utensil of choice all across Asia!",['Japanese'],['hashi']
100029,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/choy_198_185.png,CHOY SUM,Chinese cabbage with small edible flowers,"Choy sum is similar in appearance to other Chinese greens, but distinguished by its thin stems and small, yellow flowers. Choy sum is a smaller, delicate version of bok choy (see ""bok choy""). It is often served boiled and covered with oyster sauce or used in stir fries and soups. Choy sum is one of the more popular leaf vegetables in Hong Kong.","['English', 'Chinese']","['Chinese flowering cabbage', 'yau choy']"
100030,,CHRYSANTHEMUM LEAVES,An essential ingredient in hot pot dishes such as shabu shabu,The young leaves of the Chrysanthemum are part of Japanese and Chinese cooking and used in soups and in hot pot dishes such as shabu shabu or da been lo. Chrysanthemum leaves have a strong flavor and should not be overcooked.,"['Japanese', 'Chinese', 'Vietnamese']","['shingiku', 'tong ho', 'cai cui']"
100031,,CHUTNEY,Condiments made from fruit or vegetables served with Indian meals,"Chutney is a term used to describe condiments made from traditional fruit or vegetables and served with all Indian meals. Unlike Western chutneys, these are often not cooked but are more like relish, and are notable for their fresh flavors. One of the more popular ingredients used in making chutney is mango. Other popular ingredients include apples, plums, limes and tomatoes. Chutney can be served as a condiment or as a snack with bread and crackers.",[],[]
100032,,COCONUT,"An important source for not only food, but raw materials in tropical Asian countries","In tropical Asian countries, the coconut palm is an important source of not only food, but building materials and other commercial commodities. The firm, white flesh found inside the mature coconut can be eaten fresh or grated and used in cooking, especially desserts. The meat can also be shredded, dried and eaten as a snack or used in baking.","['Vietnamese', 'Indonesian/Malaysian', 'Thai']","['dua', 'kelapa', 'maprao']"
100033,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/coconut_milk_200_200.png,COCONUT MILK,Liquid extracted from the meat of the coconut,"An essential ingredient in the cooking of almost every tropical Asian country where coconuts grow, coconut milk is used in soups, curries, meat and fish dishes, drinks as well as sweets. Coconut milk is not the liquid contained in the center of the young coconut, but the liquid extracted from shredded coconut flesh. The extracted liquid, called coconut cream, is rather thick and diluted with water to produce coconut milk. Coconut milk is available both frozen and in cans.","['Indonesian', 'Malaysian', 'Filipino', 'Thai', 'Vietnamese']","['Minyak Kelapa', 'Kelapa Sentengah Tua Santen', 'Gata', 'Nam Katee', 'Nuoc Cot Dua']"
100034,,COCONUT WATER,The clear liquid found inside of young coconuts,"The whitish, opaque liquid found inside young coconuts has a slight almond flavor and is a popular drink by itself or as a base for many tropical cocktails. The chemical make up of fresh coconut water is similar in many ways to modern sports drinks, containing many of the same sugars, salts and vitamins. The liquid, naturally filtered through the coconut husk, is sterile and was used by World War II medics for emergency plasma transfusions.",['Vietnamese'],['nuoc dua tuoi']
100035,,CONGEE,A porridge or gruel made from rice and served with a variety of toppings and seasonings.,"Congee originated in China, where it goes by many names depending on the region. It is made by boiling white rice in water until the rice is broken down into a thick porridge. Some styles of congee are made with only water, and simply seasoned with salt, while others incorporate broths or stocks. Congee is a simple dish that goes well with a variety of toppings like salted duck eggs, fried fish, or shredded chicken, and condiments like garlic chili oil, black vinegar or lemon juice. ","['Chinese', 'Chinese', 'Japanese', 'Korean', 'Chinese', 'Filipino', 'Thai']","['Congee', 'bái zhōu', 'kayu', 'juk', 'jook', 'lugaw', 'chok']"
100036,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/RiceVinegar_600_600_200_200.png,COOKING WINE,"Mirin, sake and rice wine are types of alcohols and wines commonly used in Asian dishes","Just like in western cooking, Japanese and other Asian cuisines utilize wine and other alcohols in cooking, too. These commonly include mirin, sake, or shaohsing rice wine, where the alcohol is cooked out but the flavor of the liquid remains concentrated.","['Japanese', 'Chinese', 'English']","['mirin, sake', 'fen chiew, huang chiu, hua daio', 'yellow wine, wine, Shaohsing yellow rice wine']"
100037,,CORIANDER,"Also known as cilanatro, coriander is an important ingredient in South and Southeast Asian cooking","Coriander is a spice created from the seed of the coriander plant while the leaves of the plant are oftet referred to as cilantro. Coriander seeds and herbs are important ingredients in south and southeast Asian cooking. The small, round yellow-brown seeds are ground and used as one of the main ingredients in curry. The leaves of the plant is used in salads, soups and as a garnish.","['English', 'Vietnamese', 'Chinese']","['cilantro, coriander herb, Chinese parsley', 'ngo', 'yuen sai']"
100038,,CUCUMBER,"Often pickled or used in salads and curries, cucumers are a familiar ingredient in Asia","Thought to have originated in India, cucumbers are a familiar ingredient throughout Asia. Cucumbers can be pickled or used in salads, curries, or as a garnish.","['Japanese', 'Chinese', 'Malaysian', 'Indian', 'Indonesian', 'Thai']","['kyuri', 'cha gwa', 'timun', 'kakda', 'ketimun', 'taeng kan']"
100039,,CUTTLEFISH,"Though the name includes ""fish,"" cuttlefish is more similar to squid","A close relative to squid and octopus, cuttlefish generally have a rounder body than squid. Like squid and octopus, the cuttlefish also use ink to defned against predators. The flesh of cuttlefish is generally bland and used more for its texture and is a common ingredient for stir-fries. Dried, shredded cuttlefish is a popular bar snack.","['Japanese', 'Filipino', 'Burmese', 'Indonesian', 'Malaysian']","['mongo ika', 'bagolan', 'kha-wel', 'biekutak', 'sotong karang']"
100040,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/daikon_200_200.png,DAIKON,A white radish commonly used in a variety of Asian cooking,"This giant white radish is an important part of Japanese and Chinese cooking. Daikon is longer and thinner than lo bok, whick tends to be shorter and rounder. It has a similar flavor to radishes, but more mild.  Daikon is enjoyed in soups, appetizers or pickled (takuan and kimchi).","['English', 'Thai', 'Cambodian', 'Vietnamese']","['white radish', 'hua pak had', 'moeum spey sar', 'cu cai tau']"
100041,,DAIKON OROSHI,"Daikon oroshi is a condiment made of freshly grated daikon (Japanese white radish). Daikon oroshi is known to help with digestion, and is commonly eating with meat, fish and fried foods.","Daikon is an excellent source of digestive enzymes, which are more easily absorb when the raw daikon is grated.  Grated daikon is also used to subdue fishy odor from both raw and cooked fish. It is typically served on top of a dish or on the side. Soy sauce is often poured on top, but it can also be mixed into other sauces like tempura sauce or ponzu. ",[],[]
100042,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/daruma_191_200.png,DARUMA,A traditional Japanese good luck doll,"The Daruma is based on an ancient Buddhist monk known as Bodhidharma who, after nine years sitting meditating in a cave, lost the use of his arms and legs. The doll possesses a weighted bottom and rounded shape so it will regain its balance after being tipped over -- representing persistence of spirit and recovery from misfortune. Sold at temple festivals and fairs, such dolls are typically made of paper-mache, painted red, and depict Bodhidharma seated in mediation.",[],[]
100043,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/Dashi_600_600_200_200.png,DASHI,Japanese stock which is the base for soups and noodles dishes.,"Dashi is a soup stock that’s the base ingredient in not just many Japanese soups, but all sorts of Japanese dishes. The most famous soup made with dashi is probably miso, but if you’re eating a Japanese soup that has a strong umami flavor, it’s safe to bet it contains dashi. Traditionally, it’s produced by heating water containing kombu (dried kelp), katsuobushi (dried bonito flakes), iriko (dried anchovies) or shiitake (dried shiitake mushrooms) to almost boiling and then straining the solids. You can also buy instant dashi, which is quite popular in Japan too.",[],[]
100044,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/DimSum_600_600_200_200.png,DIM SUM,Traditional Chinese cuisine where small plates of a variety of foods are served,"Dim sum is a style of Chinese cuisine, traditionally Cantonese — consisting of many different bite-sized foods. Dumplings are ubiquitous in dim sum and they come in a variety of preparations and fillings, often steamed or fried. Although dumplings are a common component, dim sum includes other types of food as well; buns, rolls, various vegetable and meat dishes, soups, puddings, and other sweet and savory items. When eating at a dim sum restaurant, diners often choose dishes ready-to-go off of portable carts that meander from table to table, although some restaurants instead will have diners order from menus at their table.",[],[]
100045,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/Donabe_600_600_200_200.png,DONABE,A special Japanese clay pot for cooking hot pot dishes,"Donabe is the Japanese version of an earthenware cooking pot. Similarly to the Korean ttukbaegi, the donabe is thick and porous, allowing it to retain heat for a much longer time than a standard cooking pot. It is especially popular for hot pot soup and stew dishes like shabu shabu and other types of nabe.",[],[]
100046,,DORAYAKI,A type of Japanese confection consisting of sweet red bean paste sandwiched between two small sweet pancakes.,"Dorayaki have a shape similar to Japanese gongs called “dora”, for which they are likely named after.  In the Kansai region, in south-central Japan, the confectionary is called “mikasa” .","['Japanese', 'English']","['Mikasa', 'Dora Cake']"
100047,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Durian_600_600_200_200.png,DURIAN,"Durian, a fruit belonging belonging to the genus Durio, is found exclusively in Southeast Asia.","Whether you’ve eaten it or not, you’d probably recognize durian. It’s that spiky fruit from Southeast Asia — specifically native to the islands of Sumatra and Borneo, which are part of Indonesia, Malaysia, and Brunei — that’s famous for being rather… pungent. Maybe “pungent” is too diplomatic of a word for a fruit others would just call plain stinky.","['Indonesian', 'Malaysian', 'Thai']","['ambetan', 'doorian', 'turian']"
100048,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Eel_600_600_200_200.png,EEL,"Eel is a funky-looking fish that, it turns out, tastes quite good.","Eel is a funky-looking fish that, it turns out, tastes quite good. It’s especially common in Japan and northern China but its popularity the last couple decades has begun to expand worldwide, too. (Because of this explosion and its effect on the wild population, it’s important to make sure that the eel you’re eating is sustainable, especially for the freshwater variety.)","['Japanese', 'Chinese', 'Filipino', 'Malaysian', 'Thai']","['unagi, anago', 'moon sin', 'igat', 'malong', 'pla lai']"
100049,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/Egg_noodles_600x600_200_200.png,EGG NOODLES,"Egg noodles are a delicious component of cuisines not just in Asia, but worldwide!","Egg noodles are a delicious component of cuisines not just in Asia, but worldwide! Tons of cultures have a beloved egg noodle dish: the Alpine spätzle, Americana’s classic chicken noodle soup, endless Italian pastas, and more.","['Chinese', 'Indonesian', 'Malaysian', 'English', 'Japanese']","['mein, chow mein', 'mee', 'hokken mie', 'won ton noodles', 'chuka soba, ramen']"
100050,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/eggplant_200_200.png,EGGPLANT,"A meaty, low calorie vegetable used in several Asian dishes","Originally from the region of modern day Malaysia, the eggplant was first cultivated in Asia over 2,500 years ago. Along with the common eggplant found in most grocery stores, Asian cooks have several other varieties to choose from.","['Japanese', 'Chinese', 'Thai']","['nasubi', 'ai gwa', 'makua phuong, makua yae, ma uk']"
100051,https://www.uwajimaya.com/static/ee_images/made/af128afdcd134865/Eggs_600_600_200_200.png,EGGS,Eggs are widely used in all types of Asian cooking,"Pick a culture anywhere in the world, and they almost certainly cook with eggs. This is especially true of East and Southeast Asian cuisines!","['Japanese', 'English', 'Thai', 'Chinese', 'Indian']","['tamago, uzura no tamago', 'duck eggs, quail eggs', 'kai', 'yadan, amchundan', 'ande']"
100052,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/kamaboko_200_200.png,FISH CAKES,Made from ground fish and flour and then steamed or fried,"Japanese fish cakes, kamaboko, come in a variety of shapes and sizes. Fish cakes are made from ground fish and flour or starch that is formed into small loafs and then steamed or fried. Fish cakes are used in a variety of Japanese dishes such as soups and stews, appetizers and boxed lunches.",['Japanese'],['kamaboko']
100053,,FISH MAW,"Used in Chinese dishes to add texture, fish maw is the inflatable bladder in fish that allows them to ascend and descend in the water.","Most commercially sold fish maw comes from the conger pike, although all fish have the organ. After harvesting, fish maw is dried and then deep-fried. The resulting product is cream colored and resembles a sponge. Fish maws should be soaked in water for several hours before using and some recipes call for washing in vinegared water to remove any fishy odors. Although flavorless on its own, fish maw readily absorbs flavors and is considered a delicacy. One of the most common uses for fish maw is in fish maw soup.   ",[],[]
100054,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/fish_sauce_200_200.png,FISH SAUCE,Sauce made from fermented fish used widely in Southeast Asian cuisine,"Fish sauce is a pungent, salty sauce made from fermented fish and is used widely in the cooking of Vietnam, Thailand, Cambodia and Burma. Fish sauce is made by layering fish and salt in large containers and allowing the mixture to ferment for three months or more. The resulting liquid is then strained and bottled. Quality fish sauce should have a clear, reddish-brown color and fragrant aroma.","['Thai', 'Vietnamese', 'Filipino', 'Chinese', 'Indonesian', 'Cambodian']","['Nam Pla', 'Nuoc Mam', 'Patis', 'Yu Chiap', 'Kecap Ikan', 'Tuk Trey']"
100055,,FIVE SPICE POWDER,Mixture of spices used in Chinese cuisine,"Five spice powder is an essential seasoning for much of Chinese cuisine.  It is traditionally a blend of star anise, Szechuan peppercorns, fennel, cloves and cinnamon.  It can be used on meats, stir-fries, soup and even makes a nice marinade.  Five spice powder should be used sparingly and also comes in tea bag like packets that can be added to simmering and braising sauces.","['Chinese', 'Vietnamese']","['Heung Neu Fun', 'Ngu Vi Huong']"
100056,,FLYING FISH EGGS,"The small, bright orange eggs of flying fish (tobiko) is a popular ingredient in sushi.","Tobiko have a pleasant crunch and flavor. Similar in taste but not as crunchy is smelt roe, which is sometimes mislabeled as tobiko.",['Japanese'],['Tobiko (toh-BEE-koh)']
100057,,FRIED BEAN CURD,Fried tofu (bean curd) is an ingredient used in many Asian dishes,"Deep fried tofu (bean curd) has a crisp, golden brown outer skin and is used in many Asian dishes, including soups, hot pots, stir-fries and braised dishes. Most tofu can be fried except for the softer variety.  Sushi chefs season the fried bean curd and use them as wrappers for inarizushi (see ""sushi"").","['Japanese', 'Chinese', 'Thai', 'Vietnamese']","['abura age', 'char doufu', 'tauhu tod', 'dau hu chien']"
100058,,FUGU,Japanese Puffer Fish,"The toxins contained in the liver of fugu, a Japanese puffer fish, is one of the most deadly in nature. Even when prepared correctly by licensed chefs, diners sometimes experience a slight numbing sensation produced by the neuro-toxin. Prohibitively expensive and rarely found outside of Japan, fugu is delicacy due to its rarity. Fugu is enjoyed in soup and as sashimi. The grilled fins of the fugu are served in sake.                                                                                         ",['English'],['Japanese Puffer Fish']
100059,,FUKI,"Native to Japan, fuki is a plant that is used as a vegetable in Japanese cooking","Fuki is a plant with long, slender stems that grow to a height of 3-4 feet and are topped by a single broad leaf. The stems of of the fuki resembles a large celery stalk and are peeled and blanched before simmering or pickling.",['English'],"['Japanese butterbur, sweet coltsfoot']"
100060,,FUKI,"Fuki is a plant with long, slender stems that grow to a height of 3-4 feet and are topped by a single broad leaf.",The stems of the fuki resemble a large celery stalk and are peeled and blanched before simmering or pickling.                         ,[],[]
100061,,FUKI,"Fuki is a plant with long, slender stems that grow to a height of 3-4 feet and are topped by a single broad leaf.",The stems of the fuki resemble a large celery stalk and are peeled and blanched before simmering or pickling.                         ,[],[]
100062,,FUZZY MELON,A relative of the winter melon that is used in Cantonese cooking,"A relative of the winter melon, the fuzzy melon is covered with small white hairs and has slightly blotchy coloring. Fuzzy melon is a common ingredient in Cantonese cooking, and can be stir-fried, boiled, braised or steamed. Fuzzy melon absorbs the flavors of the ingredients that it is cooked with.","['Chinese', 'English']","['mo qua', 'hairy melon']"
100063,https://www.uwajimaya.com/static/ee_images/made/9652ad0502bee433/gailan_200_200.png,GAI LAN,"A Chinese leafy green, also known as Chinese broccoli","From the mustard family, Gai Lan has smooth, thick green stems and small, white flowers. Gai Lan has a stronger flavor than its relative, choy sum. Gai Lan can be found in many Asian restaurants in stir-fries or simply boiled and served with oyster sauce.","['English', 'Chinese']","['Chinese Broccoli, Chinese Kale', 'Kailan, kai-lan']"
